timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784790321534,3202,Practice test Login-0,301,Moved Permanently,HTML Dashboards Using CommandLine 3-16,text,true,,791,136,20,100,https://practicetestautomation.com/workshop,3202,0,0
1784790324736,2863,Practice test Login-1,200,OK,HTML Dashboards Using CommandLine 3-16,text,true,,18807,136,20,100,https://dmytro-shyshkin.kit.com/ai-workshop,2859,0,0
1784790321752,5847,Practice test Login,200,OK,HTML Dashboards Using CommandLine 3-7,text,true,,19594,272,20,100,https://dmytro-shyshkin.kit.com/ai-workshop,2986,0,0
1784790321752,2989,Practice test Login-0,301,Moved Permanently,HTML Dashboards Using CommandLine 3-7,text,true,,787,136,20,100,https://practicetestautomation.com/workshop,2986,0,0
1784790324741,2858,Practice test Login-1,200,OK,HTML Dashboards Using CommandLine 3-7,text,true,,18807,136,20,100,https://dmytro-shyshkin.kit.com/ai-workshop,2854,0,0
1784790323854,3746,AutomationExcercise,200,OK,HTML Dashboards Using CommandLine 4-1,text,true,,43923,134,20,100,https://automationexercise.com/test_cases,3488,0,0
1784790321520,6080,Practice test Login,200,OK,HTML Dashboards Using CommandLine 3-11,text,true,,19593,272,20,100,https://dmytro-shyshkin.kit.com/ai-workshop,3221,0,0
1784790321520,3221,Practice test Login-0,301,Moved Permanently,HTML Dashboards Using CommandLine 3-11,text,true,,785,136,20,100,https://practicetestautomation.com/workshop,3221,0,0
1784790324741,2859,Practice test Login-1,200,OK,HTML Dashboards Using CommandLine 3-11,text,true,,18808,136,20,100,https://dmytro-shyshkin.kit.com/ai-workshop,2859,0,0
1784790323337,4294,EasyCalculation,200,OK,HTML Dashboards Using CommandLine 2-8,text,true,,36447,158,20,100,https://www.easycalculation.com/statistics/standard-deviation.php,4266,0,0
1784790324051,3580,AutomationExcercise,200,OK,HTML Dashboards Using CommandLine 4-11,text,true,,20733,132,20,100,https://automationexercise.com/api_list,3355,0,0
1784790324522,3154,AutomationExcercise,200,OK,HTML Dashboards Using CommandLine 4-13,text,true,,8429,133,20,100,https://automationexercise.com/view_cart,3154,0,0
1784790324852,2849,Selenium,200,OK,HTML Dashboards Using CommandLine 5-9,text,true,,99372,132,20,100,https://www.selenium.dev/documentation/,2779,0,0
1784790323520,4192,EasyCalculation,200,OK,HTML Dashboards Using CommandLine 2-6,text,true,,36447,158,20,100,https://www.easycalculation.com/statistics/standard-deviation.php,4191,0,0
1784790323481,4269,EasyCalculation,200,OK,HTML Dashboards Using CommandLine 2-15,text,true,,24426,152,20,100,https://www.easycalculation.com/tax/india-tax-2019-2020.php,4251,0,0
1784790324683,3070,Selenium,200,OK,HTML Dashboards Using CommandLine 5-13,text,true,,179064,123,20,100,https://www.selenium.dev/blog/,2842,0,0
